sample,species
020665.png,urticaceae
103109.png,cupressaceae
073911.png,tilia
049552.png,fraxinus
100427.png,alnus
056874.png,picea
086299.png,alnus
078190.png,tilia
107946.png,alnus
046802.png,fraxinus
095155.png,cupressaceae
024404.png,corylus
113002.png,fagus
063517.png,poaceae
011230.png,populus
013735.png,urticaceae
085847.png,poaceae
091678.png,salix
018666.png,salix
093913.png,fraxinus
080402.png,fraxinus
039133.png,quercus
011392.png,alnus
065721.png,corylus
106926.png,populus
090712.png,urticaceae
056827.png,quercus
023701.png,urticaceae
013338.png,poaceae
101314.png,poaceae
064967.png,tilia
104606.png,tilia
011256.png,quercus
101588.png,alnus
049663.png,poaceae
109669.png,alnus
111867.png,poaceae
003263.png,poaceae
047728.png,cupressaceae
037423.png,fraxinus
045529.png,salix
061188.png,corylus
060767.png,tilia
019079.png,carpinus
088096.png,salix
024414.png,pinus
097040.png,fraxinus
054694.png,corylus
092467.png,betula
078812.png,quercus
104326.png,quercus
083027.png,fagus
029380.png,cupressaceae
019742.png,fagus
020166.png,salix
058873.png,fagus
105337.png,alnus
034255.png,picea
048447.png,populus
040220.png,tilia
061170.png,urticaceae
056693.png,populus
047400.png,salix
046319.png,alnus
038121.png,alnus
050727.png,populus
077075.png,corylus
032416.png,cupressaceae
098535.png,carpinus
045617.png,salix
035813.png,quercus
010922.png,quercus
034486.png,alnus
109834.png,poaceae
078512.png,corylus
045625.png,carpinus
063371.png,fagus
112866.png,alnus
005925.png,corylus
057259.png,populus
003963.png,picea
067902.png,corylus
075891.png,tilia
066425.png,salix
098549.png,carpinus
058438.png,poaceae
099649.png,poaceae
079120.png,tilia
058556.png,picea
093053.png,picea
008616.png,betula
026545.png,alnus
049302.png,tilia
075557.png,betula
104372.png,betula
090743.png,quercus
110985.png,tilia
043457.png,tilia
095613.png,fraxinus
035016.png,quercus
060283.png,betula
081747.png,populus
008379.png,poaceae
000540.png,poaceae
033870.png,corylus
069677.png,fagus
037456.png,urticaceae
019505.png,poaceae
018837.png,poaceae
050185.png,alnus
031821.png,urticaceae
113246.png,tilia
042141.png,corylus
061487.png,cupressaceae
104400.png,carpinus
096819.png,corylus
071122.png,fagus
058034.png,fraxinus
017269.png,alnus
104388.png,carpinus
087888.png,salix
082923.png,alnus
032213.png,fraxinus
036099.png,fraxinus
038266.png,alnus
031621.png,tilia
010414.png,fagus
108191.png,corylus
035189.png,corylus
058204.png,cupressaceae
022434.png,tilia
096453.png,corylus
070877.png,populus
007694.png,cupressaceae
114038.png,cupressaceae
053778.png,carpinus
106516.png,pinus
068814.png,salix
069309.png,picea
000136.png,carpinus
014638.png,alnus
036678.png,poaceae
060534.png,fagus
087901.png,picea
065202.png,poaceae
021945.png,pinus
010330.png,cupressaceae
040288.png,corylus
035108.png,tilia
010595.png,cupressaceae
075489.png,carpinus
071994.png,salix
001323.png,carpinus
109491.png,populus
069185.png,fagus
111743.png,carpinus
031597.png,cupressaceae
030633.png,salix
054136.png,poaceae
063191.png,fagus
022639.png,alnus
096767.png,fagus
089977.png,pinus
029341.png,quercus
014938.png,alnus
104254.png,cupressaceae
023049.png,pinus
087151.png,corylus
006473.png,picea
015671.png,poaceae
034803.png,carpinus
063142.png,picea
039024.png,poaceae
083095.png,picea
017432.png,salix
014078.png,alnus
015869.png,poaceae
065966.png,betula
018369.png,fagus
105933.png,salix
063710.png,corylus
103676.png,carpinus
044492.png,carpinus
091463.png,alnus
000765.png,betula
049708.png,fagus
072703.png,pinus
039963.png,pinus
098947.png,corylus
075873.png,populus
053257.png,urticaceae
041873.png,populus
099928.png,pinus
092190.png,pinus
011551.png,alnus
070584.png,quercus
066216.png,alnus
005884.png,fraxinus
094975.png,salix
055082.png,populus
044588.png,picea
099440.png,quercus
108025.png,fraxinus
057810.png,pinus
101891.png,fraxinus
003392.png,picea
049046.png,quercus
057402.png,poaceae
080929.png,fagus
077441.png,salix
014190.png,quercus
063761.png,salix
061762.png,betula
080081.png,poaceae
059653.png,corylus
036644.png,fraxinus
081158.png,fagus
105254.png,poaceae
005090.png,pinus
057481.png,pinus
027500.png,pinus
031889.png,picea
099448.png,alnus
067638.png,populus
